机械安全作业要求：在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,机械安全作业要求：不在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,7
仓储合同，又称仓储保管合同，是保管人储存存货人交付的仓储物，存货人支付仓储费的合同。,仓储合同是储存存货人交付的仓储物，存货人支付仓储费的合同。,8
诺成合同，是指合同自双方达成合意时成立。,诺成合同是指合同成立。,5
仓储货品的验收问题的主要内容有三项：一是验收项目，二是验收方法，三是验收期限。,仓储货品的验收问题的主要内容有：验收项目，验收方法。,7
验收期限：自物品和验收资料全部送达保管人之日起，至验收报告送出之日止。,自验收资料送达保管人之日起，至验收报告送出之日止。,7
仓储合同的验收包括：验收项目、验收方法、验收期限。,包括：验收项目、验收期限。,7
物品储存的安全性指标，主要用发生的各种事故的大小和次数来表示，主要有人身伤亡、仓库失火、爆炸、被盗、机械损坏事故几类。,物品储存的安全性指标，主要用发生的各种事故的大小和次数来表示，主要有人身伤亡、仓库失火、爆炸、机械损坏事故几类。,9
仓储成本是指仓储企业在储存物品过程中，包括装卸搬运、存储保管、流通加工、收发物品等各个环节，和建造、购置仓库等设施设备所消耗的人力、物力、财力及风险成本的总和。,仓储成本是指仓储企业在储存物品过程中，包括装卸搬运、流通加工、收发物品等各个环节，和建造、购置仓库等设施设备所消耗的人力、物力、财力及风险成本的总和。,9
仓储成本是物流成本的重要组成部分，对物流成本的高低有直接影响。,仓储成本对物流成本的高低有直接影响。,5
货物的仓储成本主要是指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，主要包括工资和能源消耗等。,货物的仓储成本是指货物保管的各种支出。,2
反映仓储作业消耗的指标：材料、燃料和动力消耗指标；平均储存费用,反映仓储作业消耗的指标：材料、燃料和动力消耗指标；,8
反映仓储作业质量的指标：货损货差率；设备完好率；保管损耗率；账务差异率；收发货差错率。,设备完好率；保管损耗率；账务差异率；收发货差错率。,8
反映仓储作业效率的指标：物品吞吐量；平均收发货时间；物品及时验收率；全员劳动生产率；库存物品的周转率；仓库作业效率。,库存物品的周转率；仓库作业效率。,3
反映仓储作业效益的指标：工资利润率；成本利润率；资金利润率；利润总额；收入利润率；每吨物品保管利润。,工资利润率；成本利润率。,3
反映仓储作业设施设备利用程度的指标：仓库货物周转率；单位面积储存量；仓库空间利润率；设备利润率。,反映仓储作业设施设备利用程度的指标：仓库货物周转率；单位面积储存量。,5
仓储成本是衡量仓储企业经营管理水平和管理质量高低的重要标志。,仓储成本是衡量管理质量高低的重要标志。,6
根据成本的性质可将仓储成本分为固定成本和变动成本两部分。,固定成本,4
仓储成本分析与控制包括以下方面： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；人工费用的分析与控制；包装作业成本分析与控制；机具物料和燃料的成本控制；提高仓储服务质量，降低仓储成本；降低机会成本和风险成本。,仓储成本分析与控制包括以下方面： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；降低机会成本和风险成本。,5
装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；利用重力作用，减少能量消耗；改进装卸搬运作业方法。,7
备货作业成本分析与控制包括以下内容：合理选择备货作业方式；合理安排仓储空间，降低备货成本；加强货位管理，提高备货作业效率。,合理选择备货作业方式；加强货位管理，提高备货作业效率。,6
合理选择备货作业方式有：全面分拣、批处理分拣、分区分拣、分组分拣。,全面分拣、分组分拣。,5
包装作业成本分析与控制包括以下内容：使用物美价廉的包装材料；包装作业机械化，提高包装效率；采用大包装，尽量使包装简单化，节约包装材料；利用原有包装，加贴新标签。,使用物美价廉的包装材料；尽量使包装简单化，节约包装材料；利用原有包装，加贴新标签。,6
企业资源计划即 ERP (Enterprise Resource Planning)，由美国 Gartner Group 公司于1990年提出。企业资源计划是 MRP II（企业制造资源计划）下一代的制造业系统和资源计划软件。,企业资源计划是 MRP II（企业制造资源计划）下一代的制造业系统和资源计划软件。,5
MRP(Material Resource Planning)：是一种保证既不出现短缺，也不积压库存的计划方法，是ERP系统的核心功能模块。,是一种保证既不出现短缺，也不积压库存的计划方法。,8
MRP包含几个要素：原料、生产、销售、产品结构。 ,原料。,2
运输管理系统，英文缩写“TMS”，是一种“供应链”分组下的（基于网络的）操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,是一种操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,8
TMS的功能模块：调度管理、车辆管理、配件管理、油耗管理、费用结算、人员管理、资源管理、财务核算、绩效考核、车辆跟踪、业务跟踪、业务统计、白卡管理、监控中心系统、账单查询等,业务统计、白卡管理、监控中心系统、账单查询等,4
ERP的功能模块：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,ERP的功能模块：供应链管理、销售与市场、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、工作流服务和企业信息系统等。,5
入库作业管理包括：收货；组盘和注册；上架,收货；组盘和注册；,6
WCS 是仓库控制系统(Warehouse Control System) 的缩写。WCS是介于WMS系统和PLC系统之间的一层管理控制系统。,是介于WMS系统和PLC系统之间的管理控制系统。,8
出库作业管理包括：波次运算；补货；拣选；复核包装；集货；发货,波次运算；补货；拣选；复核包装；,6
仓储管理系统中基础数据管理包括以下内容：用户数据；部门数据；货位数据；客户主数据；物流主数据；订单类数据；其他数据,用户数据；部门数据；货位数据；客户主数据；订单类数据；,7
条码：是由一组规则排列的条、空及其对应代码组成，是表示商品特定信息的标识。 ,条码：是由条、空及其对应代码组成，表示商品特定信息。,6
条形码的识读原理：根据不同颜色的物体，其反射的可见光的波长不同，光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,7
