机械安全作业要求：在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,许可 操作 器械作业 设备作业 专人指挥
仓储合同，又称仓储保管合同，是保管人储存存货人交付的仓储物，存货人支付仓储费的合同。,保管人 储存 存货人 交付 仓储物 支付 仓储费 合同
诺成合同，是指合同自双方达成合意时成立。,合同 双方 合意 成立
仓储货品的验收问题的主要内容有三项：一是验收项目，二是验收方法，三是验收期限。,验收 项目 方法 期限
验收期限：自物品和验收资料全部送达保管人之日起，至验收报告送出之日止。,物品 验收资料 保管人 验收报告
仓储合同的验收包括：验收项目、验收方法、验收期限。,项目 方法 期限
物品储存的安全性指标，主要用发生的各种事故的大小和次数来表示，主要有人身伤亡、仓库失火、爆炸、被盗、机械损坏事故几类。,事故 大小 次数 人身伤亡 仓库失火 爆炸 被盗 机械损坏 事故
仓储成本是指仓储企业在储存物品过程中，包括装卸搬运、存储保管、流通加工、收发物品等各个环节，和建造、购置仓库等设施设备所消耗的人力、物力、财力及风险成本的总和。,仓储企业 储存物品过 装卸搬运 存储保管 流通加工 收发物品 建造 购置仓库 设施设备 人力 物力 财力 风险成本 总和
仓储成本是物流成本的重要组成部分，对物流成本的高低有直接影响。,物流成本 组成部分 物流成本 高低 直接影响
货物的仓储成本主要是指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，主要包括工资和能源消耗等。,货物保管 支出 仓储设施 设备投资 仓储保管作业 活劳动 物化劳动 工资 能源消耗
反映仓储作业消耗的指标：材料、燃料和动力消耗指标；平均储存费用,材料 燃料 动力 消耗指标 储存费用
反映仓储作业质量的指标：货损货差率；设备完好率；保管损耗率；账务差异率；收发货差错率。,货损 货差率 设备 完好率 保管 损耗率 账务 差异率 收发货 差错率
反映仓储作业效率的指标：物品吞吐量；平均收发货时间；物品及时验收率；全员劳动生产率；库存物品的周转率；仓库作业效率。,物品 吞吐量 收发货时间 物品 验收率 劳动生产率 库存物品 周转率 仓库 作业效率
反映仓储作业效益的指标：工资利润率；成本利润率；资金利润率；利润总额；收入利润率；每吨物品保管利润。,工资利润率 成本利润率 资金利润率 利润总额 收入利润率 物品保管利润
反映仓储作业设施设备利用程度的指标：仓库货物周转率；单位面积储存量；仓库空间利润率；设备利润率。,仓库货物 周转率 单位面积 储存量 仓库空间 利润率 设备 利润率
仓储成本是衡量仓储企业经营管理水平和管理质量高低的重要标志。,衡量 仓储企业 经营管理水平 管理质量 高低 重要标志
根据成本的性质可将仓储成本分为固定成本和变动成本两部分。,固定成本 变动成本
仓储成本分析与控制包括以下方面： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；人工费用的分析与控制；包装作业成本分析与控制；机具物料和燃料的成本控制；提高仓储服务质量，降低仓储成本；降低机会成本和风险成本。,存储 装卸搬运作业 备货作业成本 人工费用 包装作业成本 机具物料 燃料 成本控制 仓储 服务质量 仓储成本 机会成本 风险成本
装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,装卸搬运机具 物品 装卸搬运 活性化 可运性 重力作用 能量消耗 装卸搬运方式 装卸搬运作业
备货作业成本分析与控制包括以下内容：合理选择备货作业方式；合理安排仓储空间，降低备货成本；加强货位管理，提高备货作业效率。,备货作业方式 仓储空间 备货成本 货位管理 备货作业效率
合理选择备货作业方式有：全面分拣、批处理分拣、分区分拣、分组分拣。,全面分拣 批处理分拣 分区分拣 分组分拣
包装作业成本分析与控制包括以下内容：使用物美价廉的包装材料；包装作业机械化，提高包装效率；采用大包装，尽量使包装简单化，节约包装材料；利用原有包装，加贴新标签。,物美价廉 包装材料 包装作业 机械化 包装效率 大包装 简单化 节约 包装材料 原有包装 新标签
企业资源计划即 ERP (Enterprise Resource Planning)，由美国 Gartner Group 公司于1990年提出。企业资源计划是 MRP II（企业制造资源计划）下一代的制造业系统和资源计划软件。,ERP 美国 1990年 MRP II 制造业系统 资源计划
MRP(Material Resource Planning)：是一种保证既不出现短缺，也不积压库存的计划方法，是ERP系统的核心功能模块。,不出现 短缺 不积压 库存 计划方法 ERP系统 核心功能
MRP包含几个要素：原料、生产、销售、产品结构。 ,原料 生产 销售 产品结构
运输管理系统，英文缩写“TMS”，是一种“供应链”分组下的（基于网络的）操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,TMS 供应链 基于网络 操作软件 方法 其他相关 操作 物流 管理能力
TMS的功能模块：调度管理、车辆管理、配件管理、油耗管理、费用结算、人员管理、资源管理、财务核算、绩效考核、车辆跟踪、业务跟踪、业务统计、白卡管理、监控中心系统、账单查询等,调度管理 车辆管理 配件管理 油耗管理 费用结算 人员管理 资源管理 财务核算 绩效考核 车辆跟踪 业务跟踪 业务统计 白卡管理 监控中心系统 账单查询
