保管成本指在保管过程中为保管物品而发生的全部费用。,保管成本指在保管过程中为保管物品而发生的全部费用。,10
运输方式按运输设备及运输工具可分为：公路运输；铁路运输；水路运输和航空运输；,运输方式按运输设备及运输工具可分为：公路运输；铁路运输；水路运输和航空运输；,10
配送中心：为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的过程。,配送中心：为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的过程。,10
绩效管理是指各级管理者和员工为了达到组织目标共同参与的绩效计划制定、绩效实施、绩效评价、绩效评估结果应用、绩效目标提升的持续循环过程，以持续提升个人和组织的绩效。,绩效管理是指各级管理者和员工为了达到组织目标共同参与的绩效计划制定、绩效实施、绩效评价、绩效评估结果应用、绩效目标提升的持续循环过程，以持续提升个人和组织的绩效。,10
盘点作业应考虑的问题有：A盘点中，实际存量和账面存量的差异是多少？B这些差异是发生在哪些品项？C每次循环盘点中，有几次确实存在误差？D平均每品项货品发生误差的次数是多少？,盘点作业应考虑的问题有：A盘点中，实际存量和账面存量的差异是多少？B这些差异是发生在哪些品项？C每次循环盘点中，有几次确实存在误差？D平均每品项货品发生误差的次数是多少？,10
出库作业管理包括：波次运算；补货；拣选；复核包装；集货；发货,出库作业管理包括：波次运算；补货；拣选；复核包装；集货；发货,10
库区布局是指一个仓库的各个组成部分，如库存、货棚、货场、辅助建筑物、铁路专运线、库内道路、附属固定设备等。,库区布局是指一个仓库的各个组成部分，如库存、货棚、货场、辅助建筑物、铁路专运线、库内道路、附属固定设备等。,10
按货架的适用性分类：通用货架、专用货架,按货架的适用性分类：通用货架,5
WCS 是仓库控制系统(Warehouse Control System) 的缩写。WCS是介于WMS系统和PLC系统之间的一层管理控制系统。,WCS 是仓库控制系统(Warehouse Control System) 的缩写。WCS是介于WMS系统和PLC系统之间的一层管理控制系统。,10
装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,10
按单拣选产生的问题：商品品种多时，拣货行走路线过长，拣取效率低；    拣取区域大时，搬运系统设计困难；少量、多批次拣取时，会造 成拣货路径重复费高，效率降低。,商品品种多时，拣货行走路线过长，拣取效率低；拣货路径重复费高，效率降低。,5
配货检查的方法包括：人工检查法、条码检查法、声音输入检查法、重量计算检查法。,配货检查的方法包括：人工检查法、条码检查法、声音输入检查法、重量计算检查法。,10
配送作业活动以客户发出的订货信息作为配送作业的驱动源。,配送作业活动以客户发出的订货信息作为配送作业的驱动源。,10
物品出库作业：它是仓储经营人根据存货人或仓单持有人所持有的仓单，按其所列物品的编号、名称、规格、型号、数量等项目，组织物品出库的一系列活动。,物品出库作业：它是仓储经营人根据存货人或仓单持有人所持有的仓单，按其所列物品的编号、名称、规格、型号、数量等项目，组织物品出库的一系列活动。,10
DBMS是一种操作和管理数据库的大型软件，可用于建立、使用和维护数据库。物流系统中的库存、货位、入出库记录等重要数据都是通过DBMS管理的。,DBMS是一种操作和管理数据库的大型软件，可用于建立、使用和维护数据库。物流系统中的库存、货位、入出库记录等重要数据都是通过DBMS管理的。,10
正确且迅速地集合客户所订购的货品是拣货的目的。,正确且迅速地集合客户所订购的货品是拣货的目的。,10
机械安全作业要求：在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,机械安全作业要求：在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,10
配送要素包括：集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。,配送要素：集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。,10
盘点的原则包括：真实、准确、完整、清楚。,盘点的原则：真实、准确、完整、清楚。,10
储位编码：是指将库房、货场、货棚、货架按物品存放的具体位置顺序，统一编列号码，并作出明显标志。,储位编码：是指将库房、货场、货棚、货架按物品存放的具体位置顺序，统一编列号码，并作出明显标志。,10
拣货单位是指拣货作业中拣取货物的包装单位。订货单位合理化主要是避免过小单位出现在订单中，减少作业量与误差，如订货的最小单位是箱，则不要以单品为拣货单位。  ,拣货单位是指拣货作业中拣取货物的包装单位。订货单位合理化主要是避免过小单位出现在订单中，减少作业量。,7
配送作业活动是以客户发出的订货信息（即订单）作为配送作业的驱动源的。,配送作业活动是以客户发出的订货信息（即订单）作为配送作业的驱动源的。,10
重心法的缺点有：一般此法是根据可变成本来进行选址的，没有区分在不同地点物流配送中心或网点所需资本成本的差异；该方法假设运费随距离呈线性变化，而实际生活中运费常常是随距离增大而递减；配送中心和其他网络节点之间的路线通常假定为直线，且被选地址是连续的，这都不符合实际情况。,重心法的缺点有：一般此法是根据可变成本来进行选址的，没有区分在不同地点物流配送中心或网点所需资本成本的差异；该方法假设运费随距离呈线性变化，而实际生活中运费常常是随距离增大而递减；配送中心和其他网络节点之间的路线通常假定为直线，且被选地址是连续的，这都不符合实际情况。,10
垛牌的内容有货位号、物品名称、规格、制造日期等。,垛牌的内容有货位号、物品名称、规格、制造日期等。,10
配送中的储存形态有储备及暂存。 储备数量较大，更加有计划性。暂存是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,配送中的储存形态有储备及暂存。 储备数量较大，更加有计划性。暂存是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,10
无线射频识别（RFID）是通过一种无线电讯号和微芯片标签识别特定目标并读写相关数据的通讯技术。,无线射频识别（RFID）是通过一种无线电讯号和微芯片标签识别特定目标并读写相关数据的通讯技术。,10
