GPS卫星星座组成：由21颗工作卫星，3颗备用卫星组成，记作（21＋3）GPS星座,21颗工作卫星 3颗备用卫星,10,GPS|卫星|星座|组成|：|由|21颗|工作|卫星|，|3颗|备用|卫星|组成|，|记作|（|21|＋|3|）|GPS|星座,n|n|n|v|w|p|m|n|n|w|m|vn|n|v|w|v|w|m|w|m|w|n|n|w,21颗|工作|卫星| |3颗|备用|卫星,m|n|n|w|m|vn|n|w
四大卫星系统：GPS、伽利略、格洛纳斯、北斗卫星导航系统。,GPS 伽利略 格洛纳斯 北斗卫星导航系统,10,四大|卫星|系统|：|GPS|、|伽利略|、|格洛纳斯|、|北斗|卫星导航|系统|。,m|n|n|w|n|w|PER|w|nz|w|nz|vn|n|w|w,GPS| |伽利略| |格洛纳斯| |北斗|卫星导航|系统,nz|w|PER|w|nz|w|nz|vn|n|w
汽车运输调度员是：从事安排和实施汽车货运输计划的人员。,安排和实施 汽车 运输计划,10,汽车|运输|调度员|是|：|从事|安排|和|实施|汽车|货运输|计划|的|人员|。,n|vn|n|v|w|v|vn|c|v|n|n|n|u|n|w|w,安排|和|实施| |汽车| |运输|计划,vn|c|vn|w|n|w|vn|n|w
运输方式选择的原则：安全性原则；及时性原则；准确性原则；,安全性原则 及时性原则 准确性原则,10,运输|方式|选择|的|原则|：|安全性|原则|；|及时性原则|；|准确性|原则|；,vn|n|v|u|n|w|n|n|w|nz|w|n|n|w|w,安全性|原则| |及时性原则| |准确性|原则,n|n|w|nz|w|n|n|w
检斤是按重量供货或以重量为计量单位的物品，做数量验收时的称重。,按 重量供货 重量为计量单位 物品 数量验收 称重,10,检|斤|是|按|重量|供货|或|以|重量|为|计量|单位|的|物品|，|做|数量|验收|时|的|称重|。,v|q|v|p|n|vn|c|p|n|v|vn|n|u|n|w|v|n|v|n|u|n|w|w,按| |重量|供货| |重量|为|计量|单位| |物品| |数量|验收| |称重,v|w|n|vn|w|n|v|vn|n|w|n|w|n|vn|w|v|w
计件是按照件数供货或以件数为计量单位的物品，做数量验收时的清点件数。,按照 件数供货 件数为计量单位 物品 数量验收 清点件数,10,计件|是|按照件数|供货|或|以|件|数|为|计量|单位|的|物品|，|做|数量|验收|时|的|清|点|件|数|。,n|v|d|v|c|p|q|n|v|vn|n|u|n|w|v|n|v|n|u|a|q|q|n|w|w,按照| |件数|供货| |件数|为|计量|单位| |物品| |数量|验收| |清|点|件|数,p|w|n|v|w|n|v|vn|n|w|n|w|n|vn|w|a|q|q|n|w
条码的识读原理：将按照一定规则编译出来的条形码转换成有意义的信息，需要经历扫描、信号整形、译码三个过程。,按照 一定规则 编译 条形码 有意义的信息 扫描 信号整形 译码,10,条码|的|识读|原理|：|将|按照|一定|规则|编译|出来|的|条形码|转换|成有|意义|的|信息|，|需要|经历|扫描|、|信号|整形|、|译码|三个|过程|。,n|u|vn|n|w|d|p|a|n|v|v|u|n|v|v|n|u|n|w|v|n|vn|w|n|vn|w|n|m|n|w|w,按照| |一定|规则| |编译| |条形码| |有|意义|的|信息| |扫描| |信号|整形| |译码,p|w|a|n|w|vn|w|n|w|v|n|u|n|w|vn|w|n|vn|w|n|w
配送中心的设备主要用于保管、搬运、存储、装卸、配送等物流作业活动。,保管 搬运 存储 装卸 配送,10,配送|中心|的|设备|主要|用于|保管|、|搬运|、|存储|、|装卸|、|配送|等|物流|作业|活动|。,vn|n|u|n|ad|v|v|w|v|w|vn|w|vn|w|vn|u|n|vn|n|w|w,保管| |搬运| |存储| |装卸| |配送,v|w|v|w|vn|w|vn|w|vn|w
保管成本指在保管过程中为保管物品而发生的全部费用。,保管 保管物品 全部费用,10,保管|成本|指|在|保管|过程|中|为|保管|物品|而|发生|的|全部|费用|。,vn|n|v|p|vn|n|f|p|vn|n|c|v|u|n|n|w|w,保管| |保管|物品| |全部|费用,v|w|v|n|w|n|n|w
标准损耗率：是指保管某物品所容许繁盛的自然损耗。,保管 物品 容许繁盛 自然损耗,10,标准损耗率|：|是|指|保管|某|物品|所|容许|繁盛|的|自然|损耗|。,nz|w|v|v|v|r|n|u|v|a|u|n|vn|w|w,保管| |物品| |容许|繁盛| |自然损耗,v|w|n|w|v|an|w|vn|w
