仓储|是|指|利用|仓库|及|相关|设施|设备|进行|物品|的|入库|、|存贮|、|出库|的|活动|。,vn|v|v|v|n|c|vn|n|n|v|n|u|vn|w|vn|w|v|u|n|w
仓储|管理|是|指|对|仓储|设施|布局|和|设计|以及|仓储|作业|所|进行|的|计划|、|组织|、|协调|和|控制|。,vn|vn|v|v|p|vn|n|n|c|vn|c|vn|n|u|v|u|n|w|n|w|vn|c|v|w
库存|是|指|储存|作为|今后|按|预定|的|目的|使用|而|处于|闲置|或|非|生产|状态|的|物品|。,n|v|v|vn|v|t|p|vn|u|n|v|c|v|v|c|v|vn|n|u|n|w
库存|管理|是|指|利用|有效|的|方法|和|现代|的|技术|手段|在|保证|供应|的|前提|下|实现|对|库存|物品|数量|上|的|有效|控制|，|进而|实现|库存|物品|量|的|最低化|，|甚至|实现|零库存|。,vn|vn|v|v|v|a|u|n|c|t|u|n|n|p|v|vn|u|n|f|v|p|vn|n|n|f|u|a|vn|w|c|v|n|n|n|u|vn|w|d|v|n|w
仓储|管理|的|内容|：|仓库|的|选址|与|建设|、|仓库|机械|设备|的|选择|与|配置|、|仓库|业务|管理|、|仓库|的|库存|控制|管理|、|人力资源|管理,vn|vn|u|n|w|n|u|vn|c|vn|w|n|n|n|u|vn|c|vn|w|n|n|vn|w|n|u|n|vn|vn|w|n|vn
仓储|管理|是|围绕|着|在|库|“|物品|”|的|管理|，|即|对|在|库|“|物|”|的|管理|。,vn|vn|v|v|u|p|n|w|n|w|u|vn|w|v|p|p|n|w|n|w|u|vn|w
库存控制|是|对|物品|的|在|库|“|数量|”|进行|控制|的|管理|，|即|对|在|库|“|量|”|的|管理|。,nz|v|p|n|u|p|n|w|n|w|v|vn|u|vn|w|v|p|p|n|w|n|w|u|vn|w
库存|控制|是|指|在|保障|供应|的|前提|下|，|使|库存|物品|的|数量|合理|所|进行|的|有效|管理|的|技术|经济|措施|。,vn|vn|v|v|p|v|vn|u|n|f|w|v|vn|n|u|n|a|u|v|u|a|vn|u|n|n|n|w
仓储|管理|的|对象|是|库存|物品|，|仓储|管理|是|在|库|物品|保管|的|方法|和|措施|的|总和|。,vn|vn|u|n|v|vn|n|w|vn|vn|v|p|n|n|v|u|n|c|n|u|n|w
自营|仓库|是|指|由|企业|或|各类|组织|自营|自管|，|为|自身|提供|储存|服务|的|仓库|。,vn|n|v|v|p|n|c|r|n|vn|vn|w|p|r|v|vn|vn|u|n|w
公共|仓库|是|指|面向|社会|提供|物品|储存|服务|并|收取|费用|的|仓库|。,a|n|v|v|v|n|v|n|vn|vn|c|v|n|u|n|w
综合|库|是|用于|存放|多种|不同|属性|物品|的|仓库|。,vn|n|v|v|v|m|a|n|n|u|n|w
专业|库|是|用于|存放|一种|或|某一|大类|物品|的|仓库|。,n|n|v|v|v|m|c|r|m|n|u|n|w
普通|仓库|是|用于|存放|无|特殊|保管|要求|的|物品|的|仓库|。,a|n|v|v|v|v|a|vn|n|u|n|u|n|w
保温|、|冷藏|、|恒湿恒温库|是|用于|存放|要求|保温|、|冷藏|或|恒湿|恒温|的|物品|的|仓库|。,vn|w|vn|w|nz|v|v|v|v|vn|w|v|c|a|a|u|n|u|n|w
危险品|仓库|是|保管|危险|物品|并|能|对|危险品|起|一定|防护|作用|的|仓库,n|n|v|v|a|n|c|v|p|n|v|a|vn|n|u|n
气调仓库|是|用于|存放|要求|控制|库|内|氧气|和|二氧化碳|浓度|的|物品|的|仓库|。,nz|v|v|v|v|v|n|f|n|c|n|n|u|n|u|n|w
半|封闭式|仓库|：|俗称|货棚|，|其|保管|条件|不如|库房|，|但是|出|入库|作业|比较|方便|，|且|建造|成本|较|低|，|适宜|存放|那些|对|温湿度|要求|不|高|且|出|入库|频繁|的|物品|。,m|a|n|w|v|n|w|r|vn|n|v|n|w|c|v|vn|n|d|a|w|c|v|n|d|a|w|v|v|r|p|n|n|d|a|c|v|vn|a|u|n|w
封闭式|仓库|：|俗称|库房|，|该|结构|的|仓库|封闭性|强|，|便于|对|仓储物|进行|维护|保养|，|适于|存放|保管|要求|比较|高|的|物品|。,a|n|w|v|n|w|r|n|u|n|n|a|w|v|p|n|v|vn|vn|w|v|v|vn|n|d|a|u|n|w
露天式|仓库|：|俗称|货场|，|其|最大|的|优点|是|装卸|作业|极其|方便|，|适宜|存放|较|大型|的|物品|。,a|n|w|v|n|w|r|a|u|n|v|vn|n|d|a|w|v|v|d|a|u|n|w
地面型|仓库|一般|是|指|单层|地面库|，|多|实用|非货架型|的|保管|设备|。,a|n|ad|v|v|n|n|w|d|a|a|u|vn|n|w
货架型|仓库|指|采用|多层|货架|保管|的|仓库|。|货架|上|放|着|物品|和|托盘|，|物品|和|托盘|可|在|货架|上|滑动|。,a|n|v|v|m|n|v|u|n|w|n|f|v|u|n|c|n|w|n|c|n|v|p|n|f|v|w
货架|可以|分为|固定|货架|和|移动|货架|。,n|v|v|a|n|c|vn|n|w
自动化|立体|仓库|是|指|入库|采用|运送|机械|存放|取出|，|用|堆垛机|等|设备|进行|机械化|自动化|作业|的|高层|货架|仓库|。,vn|a|n|v|v|vn|v|vn|n|v|v|w|p|nz|u|n|v|vn|vn|n|u|n|n|n|w
将|零星物品集中成批量物品|称为|集货|。,p|ORG|v|vn|w
将|大批量|运|到|的|物品|分成|批量|较小|的|物品|称为|分|货|。,p|n|v|v|u|n|v|n|a|u|n|v|v|n|w
分|货|中心|是|主要|从事|分|货|工作|的|物流|据点|。,v|n|n|v|ad|v|v|n|n|u|n|n|w
转运|中心|的|主要|工作|是|承担|物品|在|不同|运输|方式|之间|的|转运|。,vn|n|u|a|n|v|v|n|p|a|vn|n|f|u|vn|w
加工|中心|的|主要|工作|是|进行|流通|加工|。,vn|n|u|a|n|v|v|vn|vn|w
储调中心|以|储备|为|主要|工作|内容|，|其|功能|与|传统|仓库|基本|一致|。,ORG|p|vn|v|a|n|n|w|r|n|c|a|n|d|a|w
配送|中心|是|从事|配送|业务|且|具有|完善|信息|网络|的|场所|或|组织|。,vn|n|v|v|vn|n|c|v|v|n|n|u|n|c|n|w
物流|中心|是|从事|物流|活动|且|具有|完善|信息|网络|的|场所|或|组织|。,n|n|v|v|n|n|c|v|v|n|n|u|n|c|n|w
根据|仓库|的|主要|功能|不同|可|分为|：|储备|库|和|物流|库|。,p|n|u|a|n|a|v|v|w|vn|n|c|n|n|w
储备|库|主要|的|功能|是|储存|和|保管|物资|，|这|也是|仓库|的|最|传统|、|最|基本|的|功能|。,vn|n|a|u|n|v|v|c|vn|n|w|r|v|n|u|d|a|w|d|a|u|n|w
保税仓库|，|是|指|经|海关|批准|设立|的|专门|存放|保税|货物|及|其他|未|办结|海关|手续|货物|的|仓库|。,nz|w|v|v|p|n|v|v|u|d|v|vn|n|c|r|d|v|n|n|n|u|n|w
物流|节点|（|logistics nodes|）|是|指|物流|网络|中|连接|物流|线路|的|结节|之|处|。| ,n|n|w|nz|w|v|v|n|n|f|v|n|n|u|n|u|n|w|w
广义|的|物流|节点|是|指|所有|进行|物资|中转|、|集散|和|储运|的|节点|，|包括|港口|、|空港|、|火车|货运站|、|公路|枢纽|、|大型|公共|仓库|及|现代物流|（|配送|）|中心|、|物流|园区|等|。,n|u|n|n|v|v|r|v|n|v|w|v|c|vn|u|n|w|v|n|w|n|w|n|n|w|n|n|w|a|a|n|c|ORG|w|vn|w|n|w|n|n|u|w
狭义|的|物流|节点|仅|指|现代|物流|意义|的|物流|（|配送|）|中心|、|物流|园区|和|配送|网点|。,a|u|n|n|d|v|t|n|n|u|n|w|vn|w|n|w|n|n|c|vn|n|w
公用型|保税仓库|：|由|主营|仓储|业务|的|中国|境内|独立|企业|法人|经营|，|专门|向|社会|提供|保税|仓储|服务|。,a|nz|w|p|v|vn|n|u|LOC|s|a|n|n|v|w|d|p|n|v|vn|vn|vn|w
自用型|保税仓库|：|由|特定|的|中国|境内|独立|企业|法人|经营|，|仅|存储|供|本|企业|自用|的|保税|货物|。,a|nz|w|p|a|u|LOC|s|a|n|n|v|w|d|v|v|r|n|v|u|vn|n|w
专用型|保税仓库|：|保税仓库|中专|门|用来|存储|具有|特定|用途|或|特殊|种类|商品|的|仓库|。,a|nz|w|nz|n|n|v|v|v|a|n|c|a|n|n|u|n|w
专用型|保税仓库|包括|液体|危险品|保税|仓库|、|备料|保税仓库|、|寄售|维修|保税仓库|和|其他|专用型|保税|仓库|。,a|nz|v|n|n|vn|n|w|v|nz|w|v|v|nz|c|r|a|vn|n|w
