GPS卫星星座组成：由21颗工作卫星，3颗备用卫星组成，记作（21＋3）GPS星座,21颗工作卫星 3颗备用卫星,10
四大卫星系统：GPS、伽利略、格洛纳斯、北斗卫星导航系统。,GPS 伽利略 格洛纳斯 北斗卫星导航系统,10
汽车运输调度员是：从事安排和实施汽车货运输计划的人员。,安排和实施 汽车 运输计划,10
运输方式选择的原则：安全性原则；及时性原则；准确性原则；,安全性原则 及时性原则 准确性原则,10
检斤是按重量供货或以重量为计量单位的物品，做数量验收时的称重。,按 重量供货 重量为计量单位 物品 数量验收 称重,10
计件是按照件数供货或以件数为计量单位的物品，做数量验收时的清点件数。,按照 件数供货 件数为计量单位 物品 数量验收 清点件数,10
条码的识读原理：将按照一定规则编译出来的条形码转换成有意义的信息，需要经历扫描、信号整形、译码三个过程。,按照 一定规则 编译 条形码 有意义的信息 扫描 信号整形 译码,10
配送中心的设备主要用于保管、搬运、存储、装卸、配送等物流作业活动。,保管 搬运 存储 装卸 配送,10
保管成本指在保管过程中为保管物品而发生的全部费用。,保管 保管物品 全部费用,10
标准损耗率：是指保管某物品所容许繁盛的自然损耗。,保管 物品 容许繁盛 自然损耗,10
垛牌：为了保管及时掌握物品资料，需要在或多上挂有过关该垛物品的资料标签。,保管及时 掌握物品资料 过关 物品 资料标签,10
保温、冷藏、恒湿恒温库是用于存放要求保温、冷藏或恒湿恒温的物品的仓库。,保温 冷藏 恒湿恒温 物品 仓库,10
库存控制是指在保障供应的前提下，使库存物品的数量合理所进行的有效管理的技术经济措施。,保障供应 库存物品 数量合理 有效管理 技术经济措施,10
库存控制是在保障供应的前提下，是库存物品的数量最少而进行有效的技术经济措施。,保障供应 前提 库存物品 数量最少 有效 技术经济措施,10
盘点是保证账、物、卡相符的重要措施之一。,保证 账 物 卡 相符 重要措施 之一,10
代码：用来标识物品的一个或一组有序的符号。代码必须具备鉴别功能。,标识 物品 一个 一组 有序的符号 鉴别功能,10
物品损耗标准包括：标准损耗率、保管损耗率。,标准损耗率 保管损耗率,10
物流信息的特征：标准性，分布性，复杂性，动态性。,标准性 分布性 复杂性 动态性,10
GIS 的主要作用：将表格型数据转换为地理图形显示，然后对显示结果浏览、操作和分析。,表格型数据 地理图形 浏览 操作 分析,10
货物运输保险的目的在于补偿被保险货物在运输过程中因自然灾害或者意外事故所造成的经济损失，以加强对运输货物的安全防损工作。,补偿 被保险货物 运输过程 自然灾害 意外事故 经济损失 加强 运输货物 安全防损,10
直达转运，是指物品不经过卸车入库等环节，留在运输工具上直接送到货主手中。,不经过 卸车入库 运输工具 送到货主,10
物品的养护作业：指对不同物品保护、保养、质量控制的活动。,不同物品 保护 保养 质量控制 活动,10
GIS 数据建立过程：采集、存储、查询、分析、显示和输出。,采集 存储 查询 分析 显示 输出,10
物品出库作业：它是仓储经营人根据存货人或仓单持有人所持有的仓单，按其所列物品的编号、名称、规格、型号、数量等项目，组织物品出库的一系列活动。,仓储经营人 存货人 仓单持有人 仓单 物品 编号 名称 规格 型号 数量 项目 组织物品出库 一系列活动,10
库内接货是指仓储企业在仓库内接到存货委托人送来的物品。,仓储企业 仓库内 存货委托人 送来的物品,10
场站接货：一般指仓储企业受存货人委托或合同约束到车站、码头接运物品到储运地。一般零担托运和小批量物品采用此方法。,仓储企业 存货人委托 合同约束 车站 码头 接运物品到储运地 零担托运 小批量物品,10
仓库自行接货是指仓储企业直接到存货委托人指定的企业接货的一种方式。,仓储企业 直接 存货委托人指定 企业接货,10
